time,S,T
0.0,0.0,290.76584637338794
60.0,0.0,291.3890560234582
120.0,0.0,291.0869101144574
180.0,0.0,290.43880678134923
240.0,0.0,291.015540023909
300.0,0.0,290.70521027034994
360.0,0.0,290.4197020120388
420.0,0.0,290.87462506825324
480.0,0.0,290.6370888099261
540.0,0.0,290.4501876592531
600.0,0.0,290.92019975316947
660.0,0.0,291.61164942908306
720.0,0.0,291.9099086841637
780.0,0.0,291.4767327845695
840.0,0.0,291.81625937312464
900.0,0.0,290.6410439619813
960.0,0.0,290.9649027439951
1020.0,0.0,290.8317774197707
1080.0,0.0,291.00415672086655
1140.0,0.0,291.4635392508245
1200.0,0.0,290.9058224503797
1260.0,0.0,290.4928422352634
1320.0,0.0,290.83606533145024
1380.0,0.0,291.524020830432
1440.0,0.0,291.54884535058807
1500.0,0.0,290.5671761873312
1560.0,0.0,290.9262163163301
1620.0,0.0,291.7667529160232
1680.0,0.0,291.30014280867874
1740.0,0.0,290.60612855436057
1800.0,0.0,291.5822336962332
1860.0,0.0,291.35199261819605
1920.0,0.0,291.08656447378246
1980.0,0.0,291.65220827642673
2040.0,0.0,292.424858170776
2100.0,0.0,291.359595578744
2160.0,0.0,291.7344369342816
2220.0,0.0,291.31236683054556
2280.0,0.0,290.5569532389399
2340.0,0.0,291.1378128627771
2400.0,0.0,291.01105886712895
2460.0,0.0,291.4144658994121
2520.0,0.0,290.95232386182187
2580.0,0.0,291.8300605678062
2640.0,0.0,291.2504893320544
2700.0,0.0,291.6204209060274
2760.0,0.0,291.04721425399026
2820.0,0.0,291.2875296961133
2880.0,0.0,290.2166778872717
2940.0,0.0,291.2665906094222
3000.0,0.0,291.18812487415835
3060.0,0.0,290.2931032195369
3120.0,0.0,291.1539434009632
3180.0,0.0,290.27001447356616
3240.0,0.0,291.79307603779273
3300.0,0.0,291.3732034351924
3360.0,0.0,292.2649774129407
3420.0,0.0,289.9580808512579
3480.0,0.0,290.9790511255032
3540.0,0.0,290.9570353795744
3600.0,0.0,291.01318218373285
3660.0,0.0,291.7067331719975
3720.0,0.0,291.5433679811722
3780.0,0.0,290.27475119446945
3840.0,0.0,291.07575012086863
3900.0,0.0,290.76110966569377
3960.0,0.0,291.8607797409469
4020.0,0.0,290.64534066733677
4080.0,0.0,290.221540993672
4140.0,0.0,290.7902699919317
4200.0,0.0,291.5051004046618
4260.0,0.0,290.8305486460779
4320.0,0.0,290.9057676087913
4380.0,0.0,291.0819880053938
4440.0,0.0,291.3906274417536
4500.0,0.0,290.4653703552202
4560.0,0.0,291.5350298098905
4620.0,0.0,291.35686237374443
4680.0,0.0,290.8595207189578
4740.0,0.0,291.2480956181164
4800.0,0.0,291.5074994045538
4860.0,0.0,290.811781773413
4920.0,0.0,291.4926788692757
4980.0,0.0,291.5687643475023
5040.0,0.0,290.1593908676119
5100.0,0.0,291.54847932798884
5160.0,0.0,290.3294626341204
5220.0,0.0,291.20246967906513
5280.0,0.0,290.8648502338035
5340.0,0.0,291.5191720029045
5400.0,0.0,291.3005248980368
5460.0,0.0,291.35007218337137
5520.0,0.0,291.0453980029461
5580.0,0.0,291.06924959237415
5640.0,0.0,290.5756154509005
5700.0,0.0,291.7830025347484
5760.0,0.0,291.1658366153616
5820.0,0.0,290.606974058003
5880.0,0.0,290.7762494152988
5940.0,0.0,291.13822319981773
6000.0,0.0,291.23002349234514
6060.0,0.0,291.9047454597502
6120.0,0.0,290.9623055998181
6180.0,0.0,291.4493384920265
6240.0,0.0,291.4147156137292
6300.0,0.0,291.8867623287795
6360.0,0.0,292.6706047948203
6420.0,0.0,291.5971685729111
6480.0,0.0,291.0252317605771
6540.0,0.0,291.5703437785941
6600.0,0.0,290.8635288727471
6660.0,0.0,290.9802207208825
6720.0,0.0,291.95668636182575
6780.0,0.0,291.38353279502326
6840.0,0.0,290.4848003098664
6900.0,0.0,291.51117754924735
6960.0,0.0,291.3410468286707
7020.0,0.0,291.1380705639295
7080.0,0.0,291.0899022552854
7140.0,0.0,290.43856687641613
7200.0,0.0,291.37327679947396
7260.0,0.0,291.10866878437304
7320.0,0.0,290.7469887870963
7380.0,0.0,291.49069020997644
7440.0,0.0,291.6910074263547
7500.0,0.0,290.65393634912095
7560.0,0.0,290.3609037039267
7620.0,0.0,291.14475295007315
7680.0,0.0,291.5800896667182
7740.0,0.0,291.5579875994643
7800.0,0.0,291.2074342949962
7860.0,0.0,292.1362495013226
7920.0,0.0,291.69349629652027
7980.0,0.0,290.7402761831912
8040.0,0.0,291.0176946506292
8100.0,0.0,291.3381820558098
8160.0,0.0,291.30556714750537
8220.0,0.0,291.5734162877362
8280.0,0.0,290.0903225079197
8340.0,0.0,291.4504280367595
8400.0,0.0,290.52308364036224
8460.0,0.0,291.6940521802295
8520.0,0.0,290.86057528831486
8580.0,0.0,291.140564030787
8640.0,0.0,291.14243859288325
8700.0,0.0,291.0175131045158
8760.0,0.0,290.93254112611146
8820.0,0.0,291.32361919722297
8880.0,0.0,290.68181146846314
8940.0,0.0,290.96800806746865
9000.0,0.0,291.5913655709309
9060.0,0.0,290.35545779239027
9120.0,0.0,291.9225394205633
9180.0,0.0,291.33825627276633
9240.0,0.0,291.4736446615976
9300.0,0.0,291.77502834988513
9360.0,0.0,291.25310423750165
9420.0,0.0,291.12482839423456
9480.0,0.0,291.24725398774507
9540.0,0.0,292.1756498067178
9600.0,0.0,290.4078977975159
9660.0,0.0,290.9483382028506
9720.0,0.0,291.17060595752156
9780.0,0.0,291.0934235872059
9840.0,0.0,290.77465088933684
9900.0,0.0,290.71948832779816
9960.0,0.0,290.9857634466329
10020.0,0.0,290.85146708914704
10080.0,0.0,290.9333677897519
10140.0,0.0,290.66064905631805
10200.0,0.0,291.0497385166368
10260.0,0.0,291.00320984901117
10320.0,0.0,290.2756402960684
10380.0,0.0,291.39476912333936
10440.0,0.0,290.76918923272405
10500.0,0.0,291.10784009656453
10560.0,0.0,290.62488091150675
10620.0,0.0,290.79257136099
10680.0,0.0,291.0068937494332
10740.0,0.0,291.4038350346041
10800.0,0.0,291.60927048764324
10860.0,0.0,291.29517277545
10920.0,0.0,291.1748432479031
10980.0,0.0,291.26656722815056
11040.0,0.0,290.70468858186103
11100.0,0.0,292.38627383989717
11160.0,0.0,290.7481243377119
11220.0,0.0,291.37130907336314
11280.0,0.0,290.8415113922866
11340.0,0.0,292.006327110992
11400.0,0.0,291.3030251600807
11460.0,0.0,290.9125987703121
11520.0,0.0,290.9678848248728
11580.0,0.0,290.9079972395708
11640.0,0.0,292.0410168971772
11700.0,0.0,291.40699839159487
11760.0,0.0,291.2989834069653
11820.0,0.0,290.95282699081474
11880.0,0.0,290.54900683533924
11940.0,0.0,291.0203259688676
12000.0,0.0,291.4730298940819
12060.0,0.0,291.42937823756995
12120.0,0.0,290.28864258523026
12180.0,0.0,290.87806231121033
12240.0,0.0,291.3099637445092
12300.0,0.0,290.9095640276243
12360.0,0.0,292.00300556112006
12420.0,0.0,291.1409057874522
12480.0,0.0,291.38114504417143
12540.0,0.0,290.69895203659377
12600.0,0.0,291.2491639372472
12660.0,0.0,291.7381217985497
12720.0,0.0,290.95200646704257
12780.0,0.0,290.38487943801385
12840.0,0.0,291.21267201607947
12900.0,0.0,291.64316909108874
12960.0,0.0,291.37087382829895
13020.0,0.0,291.63259988818805
13080.0,0.0,291.0298426695274
13140.0,0.0,290.15191479648576
13200.0,0.0,290.7205614187932
13260.0,0.0,290.65953286445455
13320.0,0.0,291.22162257685414
13380.0,0.0,291.83992010621205
13440.0,0.0,291.92024958074217
13500.0,0.0,290.7675923780968
13560.0,0.0,291.0688344555195
13620.0,0.0,291.79652724506855
13680.0,0.0,291.5767855983585
13740.0,0.0,291.39235182990575
13800.0,0.0,291.4737502421578
13860.0,0.0,291.1173102217334
13920.0,0.0,291.81504132851785
13980.0,0.0,290.33960699919123
14040.0,0.0,291.6075924073699
14100.0,0.0,290.6183216544202
14160.0,0.0,291.67210531545834
14220.0,0.0,292.11850933926405
14280.0,0.0,290.70616067854974
14340.0,0.0,291.27959559969
14400.0,0.0,290.7242831664248
14460.0,0.0,290.3323414823423
14520.0,0.0,290.92791593358356
14580.0,0.0,291.42711989181515
14640.0,0.0,291.19400478992156
14700.0,0.0,290.39207887385703
14760.0,0.0,290.5562391989599
14820.0,0.0,291.28807804794235
14880.0,0.0,290.7573980051864
14940.0,0.0,291.2094200285084
